2025-08-21 20:28:21,531 INFO    MainThread:98124 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/lilshoe/Library/Mobile Documents/com~apple~CloudDocs/Politecnico Torino/Anno 2024-2025/Primo Semestre/Numerical Optimization/Projects_Code/Numerical/wandb/run-20250821_202821-3ubgn2ft/logs/debug.log
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/lilshoe/Library/Mobile Documents/com~apple~CloudDocs/Politecnico Torino/Anno 2024-2025/Primo Semestre/Numerical Optimization/Projects_Code/Numerical/wandb/run-20250821_202821-3ubgn2ft/logs/debug-internal.log
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:init():830] calling init triggers
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'function': 'broyden_tridiagonal_function', 'method': 'truncated', 'n': 100000, '_wandb': {}}
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:init():871] starting backend
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:init():874] sending inform_init request
2025-08-21 20:28:21,534 INFO    MainThread:98124 [wandb_init.py:init():882] backend started and connected
2025-08-21 20:28:21,535 INFO    MainThread:98124 [wandb_init.py:init():953] updated telemetry
2025-08-21 20:28:21,556 INFO    MainThread:98124 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-21 20:28:22,186 INFO    MainThread:98124 [wandb_init.py:init():1029] starting run threads in backend
2025-08-21 20:28:22,218 INFO    MainThread:98124 [wandb_run.py:_console_start():2494] atexit reg
2025-08-21 20:28:22,218 INFO    MainThread:98124 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-21 20:28:22,218 INFO    MainThread:98124 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-21 20:28:22,218 INFO    MainThread:98124 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-21 20:28:22,218 INFO    MainThread:98124 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-21 20:34:22,946 INFO    MainThread:98124 [wandb_run.py:_finish():2260] finishing run salvatore-nocita25-politecnico-di-torino/truncated_newton/3ubgn2ft
2025-08-21 20:34:22,946 INFO    MainThread:98124 [wandb_run.py:_atexit_cleanup():2459] got exitcode: 0
2025-08-21 20:34:22,946 INFO    MainThread:98124 [wandb_run.py:_restore():2441] restore
2025-08-21 20:34:22,946 INFO    MainThread:98124 [wandb_run.py:_restore():2447] restore done
2025-08-21 20:34:24,319 INFO    MainThread:98124 [wandb_run.py:_footer_history_summary_info():3895] rendering history
2025-08-21 20:34:24,319 INFO    MainThread:98124 [wandb_run.py:_footer_history_summary_info():3927] rendering summary
2025-08-21 20:34:24,319 INFO    MainThread:98124 [wandb_run.py:_footer_sync_info():3856] logging synced files
